Country_Name,Country_Code,2008,2009,2010,2011
Aruba,ABW,2745251397.0,2498882682.0,2390502793.0,2549720670.0
Afghanistan,AFG,10109218068.0,12439087077.0,15856574731.0,17804280538.0
Angola,AGO,88538611205.0,70307163678.0,83799496611.0,111790000000.0
Albania,ALB,12881353508.0,12044208086.0,11926953214.0,12890866743.0
Andorra,AND,4007353157.0,3660530703.0,3355695364.0,3442062830.0
Arab World,ARB,2078820000000.0,1796360000000.0,2110060000000.0,2501830000000.0
United Arab Emirates,ARE,315475000000.0,253547000000.0,289787000000.0,350666000000.0
Argentina,ARG,361558000000.0,332976000000.0,423627000000.0,530163000000.0
Armenia,ARM,11662040714.0,8647936748.0,9260284938.0,10142111334.0
American Samoa,ASM,563000000.0,678000000.0,576000000.0,574000000.0
Antigua and Barbuda,ATG,1368431037.0,1224253000.0,1152469074.0,1142042926.0
Australia,AUS,1054000000000.0,927805000000.0,1146140000000.0,1396650000000.0
Austria,AUT,430294000000.0,400172000000.0,391893000000.0,431120000000.0
Azerbaijan,AZE,48852482960.0,44291490421.0,52902703376.0,65951627200.0
Burundi,BDI,1611835902.0,1781455092.0,2032135247.0,2235820868.0
Belgium,BEL,518626000000.0,484553000000.0,483548000000.0,527008000000.0
Benin,BEN,7132787397.0,7097198712.0,6970240895.0,7814081156.0
Burkina Faso,BFA,8369637065.0,8369175126.0,8979966766.0,10724063458.0
Bangladesh,BGD,91631278239.0,102478000000.0,115279000000.0,128638000000.0
Bulgaria,BGR,54409138498.0,51884481410.0,50610058210.0,57418414504.0
Bahrain,BHR,25710877660.0,22938218085.0,25713271277.0,28776595745.0
"Bahamas, The",BHS,10526000000.0,9981960000.0,10095760000.0,10070450000.0
Bosnia and Herzegovina,BIH,19112739664.0,17613836210.0,17176781337.0,18644723861.0
Belarus,BLR,60763483146.0,50874078052.0,58665088956.0,61757788945.0
Belize,BLZ,1368625150.0,1335217500.0,1396731700.0,1486595750.0
Bermuda,BMU,6109928000.0,5806378000.0,5744414000.0,5550771000.0
Bolivia,BOL,16674324634.0,17339992165.0,19649631451.0,23963033588.0
Brazil,BRA,1695820000000.0,1667020000000.0,2208870000000.0,2616200000000.0
Barbados,BRB,4782000000.0,4479950000.0,4529900000.0,4660900000.0
Brunei Darussalam,BRN,14393099069.0,10732366286.0,13707370737.0,18525319978.0
Bhutan,BTN,1258332337.0,1264758198.0,1585472534.0,1820207626.0
Botswana,BWA,10945070442.0,10267133178.0,12786654366.0,15351972230.0
Central African Republic,CAF,1985240986.0,2059094048.0,2140503193.0,2434792413.0
Canada,CAN,1549130000000.0,1371150000000.0,1613540000000.0,1789140000000.0
Central Europe and the Baltics,CEB,1530310000000.0,1287790000000.0,1312310000000.0,1445170000000.0
Switzerland,CHE,554363000000.0,541507000000.0,583783000000.0,699580000000.0
Chile,CHL,179638000000.0,172389000000.0,218538000000.0,252252000000.0
China,CHN,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0
Cote d'Ivoire,CIV,24224905504.0,24277494337.0,24884503951.0,25381615976.0
Cameroon,CMR,26409781215.0,26017925552.0,26143818510.0,29337006833.0
"Congo, Dem. Rep.",COD,19788515874.0,18648373312.0,21565720044.0,25839749199.0
"Congo, Rep.",COG,11859013281.0,9593537551.0,12007880439.0,14425607180.0
Colombia,COL,241711000000.0,232494000000.0,286104000000.0,334454000000.0
Comoros,COM,911967428.7,901711442.3,907093130.3,1021746833.0
